Account Name,Opportunity Name,Stage,Close Date,Created Date,Type,Total ACV,Primary Campaign Source,Closed Lost Reason,Law Firm Practice Area,NumofLawyers
David Allen Law Group,David Allen Law Group-Upsell-[O-10336],Won,4/9/24,3/26/24,Upsell,11604,Cold Call,,Appellate; Business Organizations; Commercial; Insurance; Litigation; Other,16
"Minor & Brown, PC","Minor & Brown, PC-Upsell-[O-9634]",Won,12/15/23,12/6/23,Upsell,11850,Check-in Call,,Labor & Employment; Mergers & Acquisitions; Other; Private & Hedge Funds; Real Estate; Tax,6
Cooper & Kirk Pllc,Cooper & Kirk Pllc-New-[O-11403],Open,12/31/24,7/23/24,New,11880,*NYLW 2024,,,22
"Reisz Siderman Eisenberg, A Professional Corporation","Reisz Siderman Eisenberg, A Professional Corporation-Upsell-[O-11890]",Won,9/25/24,9/25/24,Upsell,12000,Check-in Call,,Commercial; Construction; Insurance; Litigation; Other; Product Liability; Professional Responsibility; Real Estate,13
Hicks Thomas LLP,Hicks Thomas LLP-Upsell-[O-11633],Won,8/26/24,8/26/24,Upsell,12000,Cold Call,,Appellate; Bankruptcy; Construction; Energy; Environmental; Labor & Employment; Litigation; Other; Real Estate,30
"Chaffetz Lindsey, LLP","Chaffetz Lindsey, LLP-Upsell-[O-10876]",Won,5/29/24,5/29/24,Upsell,12000,No Known Campaign Source,,Bankruptcy; Energy; Insurance; Litigation,32
Orbach Huff & Henderson,Orbach Huff & Henderson-Upsell-[O-10444],Won,4/2/24,4/2/24,Upsell,12000,No Known Campaign Source,,Appellate; Construction; Education; Energy; Environmental; Labor & Employment; Litigation; Other; Public Finance,41
Renner Otto,Renner Otto-Cross-Sell-[O-9317],Lost,6/14/24,9/28/23,Cross-Sell,12000,Website Demo + Contact Us - Form Submissions,Functionality (Provide Details),Copyright; Intellectual Property; Litigation; Patent; Trademark,23
Nukk-Freeman & Cerra,Nukk-Freeman & Cerra-Upsell-[O-9227],Won,9/13/23,9/13/23,Upsell,12000,No Known Campaign Source,,Employee Benefits; Labor & Employment; Litigation; Other; Workers Compensation,38
"Kaufman Dolowich, LLP","Kaufman Dolowich, LLP-Upsell-[O-9216]",Won,9/11/23,9/8/23,Upsell,12000,No Known Campaign Source,,Commercial; Construction; Environmental; FDA; Financial Services Regulatory; Insurance; Intellectual Property; Labor & Employment; Maritime; Municipal; Other; Professional Responsibility; Real Estate,212
Maron Marvel Bradley Anderson & Tardy LLC,Maron Marvel Bradley Anderson & Tardy LLC-Upsell-[O-8532],Won,8/15/23,6/21/23,Upsell,12000,No Known Campaign Source,,Class Actions; Personal Injury; Product Liability,97
Berman Fink Van Horn PC,Berman Fink Van Horn PC-Cross-Sell-[O-7473],Lost,9/14/23,2/7/23,Cross-Sell,12000,email-Monthly Newsletter-DECEMBER 2022,Inertia (Provide Details),Arbitration; Commercial; Labor & Employment,22
"Gordon, Arata, Montgomery, Barnett, McCollam, Duplantis & Eagan, LLC","Gordon, Arata, Montgomery, Barnett, McCollam, Duplantis & Eagan, LLC-Cross-Sell-[O-5596]",Won,3/31/23,4/5/22,Cross-Sell,12000,CE Integration Data,,Antitrust; Arbitration; Bankruptcy; Business Organizations; Construction; Energy; Finance & Banking; Financing & Banking; Insurance; International; Labor & Employment; Litigation; Maritime; Real Estate; Tax; Trusts & Estates,41
"Leland, Parachini, Steinberg, Matzger & Melnick","Leland, Parachini, Steinberg, Matzger & Melnick-Cross-Sell-[O-11964]",Open,12/31/24,10/9/24,Cross-Sell,12096,,,Family; Intellectual Property; Trusts & Estates,22
Bernkopf Goodman,Bernkopf Goodman-Upsell-[O-5872],Won,3/20/23,4/29/22,Upsell,12240,Check-in Call,,Construction; Litigation; Real Estate,22
Freehill Hogan & Mahar LLP,Freehill Hogan & Mahar LLP-Upsell-[O-8290],Won,6/6/23,6/1/23,Upsell,12279,No Known Campaign Source,,Construction; Labor & Employment; Maritime,28
"Ashcraft & Gerel, LLP","Ashcraft & Gerel, LLP-Upsell-[O-8152]",Lost,6/1/23,5/4/23,Upsell,12368.04,No Known Campaign Source,Feature (Provide Details),Class Actions; Personal Injury; Workers Compensation,15
